"","FirstName","LastName","Team","GP","GS","AVG","OPS","AB","R","H","X2B","X3B","HR","RBI","TB","SLG","BB","HBP","SO","GDP","OBP","SF","SH","SB","SB_ATT"
"17","CJ","KAYFUS","Miami","62","62",0.347,1.045,236,61,82,14,1,13,41,137,0.581,46,6,44,4,0.464,1,0,"8","12"
"18","CHRISTIAN","MARTIN","Virginia Tech","48","48",0.345,0.926,174,39,60,7,3,3,26,82,0.471,32,5,28,3,0.455,2,4,"8","10"
"19","BROCK","WILKEN","Wake Forest","66","66",0.345,1.313,238,90,82,15,1,31,82,192,0.807,69,11,58,3,0.506,2,0,"1","1"
"20","STEPHEN","REID","Georgia Tech","57","57",0.344,1.051,224,54,77,13,2,15,51,139,0.621,29,8,53,6,0.43,4,0,"0","0"
"21","GARRETT","MICHEL","Virginia Tech","51","51",0.339,1.091,171,51,58,16,0,11,45,107,0.626,37,5,66,4,0.465,2,0,"1","1"
"22","JAMES","TIBBS III","Florida State","54","54",0.338,1.153,195,61,66,14,1,17,43,133,0.682,48,1,49,4,0.471,0,0,"5","5"
"23","CHRIS","CANNIZZARO","Virginia Tech","51","45",0.337,0.967,193,40,65,11,2,10,45,110,0.57,19,3,27,6,0.397,4,1,"2","3"
"24","ANTHONY","STEPHAN","Virginia","55","46",0.335,0.98,158,37,53,13,1,5,35,83,0.525,28,9,25,3,0.455,3,3,"4","5"
"25","JAY","BESHEARS","Duke","59","59",0.333,1.024,237,58,79,15,0,15,56,139,0.586,31,13,45,5,0.438,0,0,"5","5"
"26","JOHN","GIESLER","Georgia Tech","47","41",0.333,1.018,156,34,52,13,2,8,37,93,0.596,23,4,28,3,0.422,4,0,"3","3"
"27","LUJAMES","GROOVER III","NC State","57","57",0.332,0.976,229,48,76,8,1,13,50,125,0.546,36,7,26,5,0.43,5,0,"2","2"
"28","CHRISTIAN","KNAPCZYK","Louisville","45","44",0.331,0.863,169,40,56,8,1,1,24,69,0.408,21,19,19,1,0.455,2,1,"19","25"
